,snid,Redshift,SN_RA,SN_DEC,HOST_RA,HOST_DEC,dDLR,U-R,(U-R)_v3,LOGMASS,LOGMASS_lowerr,LOGMASS_uppererr,LOG10SFR,SFR,SFR_lowerr,SFR_uppererr,Notes
40,2021foh,0.022,200.1703818,-17.10931636,200.16903320000000,-17.1062535,2.725126735935410,1.06232334554987,0.885,9.336,0.038,0.067,-0.545,0.2851018267503910,0.108,0.18,
41,2021fqb,0.035,227.774625,5.107269,227.77736740000000,5.1093213000000000,2.523877250972350,1.08436919527335,1.163,10.174,0.222,0.184,0.203,1.5958791472367300,10.058,0.449,
42,2021fxy,0.0094,198.2565721,-19.51251762,198.25435920000000,-19.5181965,1.4552229899424600,1.18245812447543,1.778,10.839,0.024,0.357,-0.089,0.8147042840208400,6.699,0.391,
43,2021gez,0.03206,245.5417896,21.22222736,245.53849800000000,21.219334,1.7322782038543700,0.640264290480033,1.102,9.863,0.157,0.303,0.145,1.3963683610559400,10.145,0.221,
44,2021ghc,0.046217,149.1374525,0.752317185,149.13982820000000,0.7508584,2.816703057563890,0.4930794375899130,0.553,9.526,0.362,0.179,-0.192,0.6426877173170200,3.245,1.296,
45,2021gkb,0.06939,164.4807248,-13.7907718,164.480958,-13.790905800000000,0.16741319573574500,1.0311847427757200,1.804,11.12,0.124,0.26,0.714,5.176068319505680,0.491,0.293,
46,2021gmk,0.041715,91.86167429,-45.004135,91.86247180000000,-45.0030851,0.8572700514144850,1.36604,1.721,10.557,0.101,0.311,0.089,1.2274392311584100,0.621,0.429,
47,2021gqc,0.047,226.949792,-10.247161,226.9498194,-10.2471538,0.06588021934476000,1.15959625444027,1.886,9.865,0.13,0.409,-5.197,6.35330931851744e-06,4.803,5.351,
48,2021gwa,0.07036,235.6545,6.854539,235.65617610000000,6.8568181,1.7639295922357700,1.6113226443098700,1.87,10.807,0.39,0.153,-10.0,1e-10,0.0,10.772,
49,2021gwn,0.048,161.79996,-29.38623,161.80046820000000,-29.3863354,0.3948916679114990,1.435158942762190,1.736,10.685,0.131,0.303,0.071,1.1776059735208100,0.371,0.625,
50,2021hem,0.035,245.3167114,14.5526557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
51,2021hfq,0.08,119.47875,-67.731431,119.47723530000000,-67.7305349,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,N/A
52,2021hiz,0.003319,186.4236464,7.228405121,186.42734,7.2166544,1.3204660902870800,0.773090157856927,1.159,9.172,0.111,0.197,-0.752,0.17701089583174200,0.503,0.257,
53,2021hjb,0.06651,133.9395421,16.9246338,133.9395248,16.9246522,0.0660354396701889,1.51201445968358,1.788,10.536,0.283,0.26,0.05,1.1220184543019600,10.05,0.596,
54,2021hjc,0.05369,141.3886776,-24.7649249,141.3884149,-24.7645958,0.4134696415336240,1.01582229686392,1.741,10.604,0.118,0.266,0.096,1.247383514242940,10.096,0.664,
55,2021hji,0.057,252.171356,21.99722575,252.17102320000000,21.9974455,0.6181256124896620,0.518442614988231,0.829,9.401,0.348,0.255,0.093,1.2387965865303700,10.093,0.703,
56,2021hup,0.049,178.5248434,-6.6015876,178.52481820000000,-6.6017725,0.4268927762538950,0.8178256556950030,1.259,9.661,0.123,0.155,-0.357,0.4395416154378250,6.384,0.528,
57,2021hvo,0.051,200.7138947,-40.77670824,200.71191940000000,-40.776458,1.761660008930890,1.0018573398583900,1.078,10.0,1.051,0.558,-0.187,0.6501296903430910,0.129,1.394,
58,2021hwk,0.041,214.7613339,-7.3905934,214.76172710000000,-7.3896474,0.8857798131964790,0.68884259108026,0.849,9.684,0.086,0.086,-0.113,0.7709034690644300,0.338,0.408,
59,2021ibo,0.058,136.1089968,8.012786188,136.10838715750000,8.014285661111110,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,N/A
60,2021ify,0.056,261.7237293,13.17884771,261.7235265875,13.178840751666700,0.12014951357880900,0.754874484301709,1.196,9.699,0.147,0.34,-0.278,0.5272298614228230,9.722,0.187,
61,2021igt,0.075382,191.2505377,21.14171747,191.24999920000000,21.1421456,1.8762484750116700,0.790862153317704,1.245,9.998,0.199,0.207,0.512,3.2508729738543400,10.512,0.238,
62,2021ihz,0.06976,228.3638399,25.20666325,228.36610280000000,25.207049900000000,0.8982925292058610,1.1270276664319600,1.478,11.253,0.271,0.168,1.339,21.827299118430000,1.308,0.055,
63,2021ill,0.056,139.938917,-30.877989,139.9391626,-30.8781295,0.21996290125968800,0.808937304523738,1.122,9.96,0.115,0.06,-0.16,0.6918309709189370,0.476,0.593,
64,2021inj,0.041,241.4124943,3.071941517,241.41176950000000,3.0727062000000000,0.40306909556982800,1.08436919527335,1.853,10.94,0.222,0.268,0.622,4.187935651179180,10.622,0.076,
65,2021iov,0.053944,141.6618652,-7.087174,141.66045960000000,-7.0874435,1.1036571544101200,0.703912042339724,0.925,10.175,0.082,0.141,0.237,1.7258378919902000,0.085,0.402,
66,2021ipb,0.036912,240.8874486,14.55224117,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
67,2021ipf,0.055735,174.460788,-7.228356,174.4611249,-7.227638,0.48197707202229200,1.47158517317513,1.835,11.1,0.269,0.133,0.612,4.092606597300110,0.877,0.075,
68,2021iuk,0.08,186.4935911,6.740841507,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hostless
69,2021jad,0.0055,83.342405,-21.95181813,83.3402407,-21.9455406,1.6175020843756800,0.948437683487128,1.407,10.383,0.116,0.268,0.393,2.4717241450161300,0.186,0.191,
70,2021jap,0.03,163.7665753,-8.7458692,163.76943420000000,-8.747737000000000,2.095672992759660,0.308460472812172,0.855,9.113,0.103,0.118,-0.44,0.36307805477010100,0.61,0.446,
71,2021jkd,0.077,232.5318687,-0.565278137,232.53134920000000,-0.5665142000000000,2.0304359711548200,1.26148121318835,2.017,10.468,0.084,0.434,-10.0,1e-10,0.0,10.642,
72,2021juw,0.039,296.771708,-20.2032,296.77195,-20.2055755,1.3749009529176600,0.958428424919731,1.838,11.073,0.141,0.242,0.845,6.998419960022730,0.407,0.035,
73,2021jvs,0.021,224.4366965,6.6243519,224.43700020000000,6.626900900000000,0.7027141116878230,1.20868661718225,1.614,10.778,0.276,0.235,-0.011,0.974989637717387,9.989,0.73,
74,2021jwl,0.038,233.8927522,5.392282441,233.89348060000000,5.3930778,0.759614004290626,0.664848278343797,0.79,9.884,0.224,0.153,-0.023,0.9484184633008970,3.525,0.839,
75,2021jys,0.036,135.3058235,10.43738805,135.3064889,10.437073700000000,1.3445518185611000,1.19549000351759,1.0,9.292,0.162,0.24,-0.548,0.2831391995799380,9.452,1.097,
76,2021jze,0.0471,154.972375,-3.7354,154.97040670000000,-3.7349632,0.7178627570789080,0.8296892396778330,1.634,10.946,0.091,0.268,0.999,9.977000638225530,1.036,0.127,
77,2021kbj,0.13,238.5924249,24.4904165,238.5924546,24.489839800000000,1.137390407513050,0.465934009483121,1.098,10.189,0.195,0.308,0.245,1.7579236139586900,0.891,1.127,
